user_address,amount,percent,LV aidrop,LV total supply,LV bag P0.05%,LV bag total,,,,,,,,,,,,,
0xea16ed935d3bc2e636cc8e4619597337e2c45490,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x50fb82f594225260ebca212f839ab0ad0708dea2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf6ead08b48678945e98c93b6c7c9342e2c13e92c,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x944e24cd5d9d50f6e7204e9e6eb5419f73b0f5f8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5126fb26de8b96778fd5de5fa8003649a404cb13,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x4afb37574d5497ae03e40ed264a43597dc525399,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8b48aa97799112e0383b51395f029660731e1819,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3681acc679a2276b05570a704affbc9c3528374a,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xc4a7ef91c0c88a84070c1959a6f6be5844a98788,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x87047356e9e58c3861b3cd5c6c85cd1227a78328,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5abb2078f6d21476abf115d1a3412615b19d6a8c,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd29108a165a550da82850ab0157ea8cebb336732,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb3e790ddb58f91892fab794789b791d911db57bf,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3097bfe7ae48454d04f19fae50e159f871b7c9a0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x29e68c9dc515939f2c5d5a3e2ff86e9a4ecf66e0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x90be5eebfa0c6394c17446010384e0a1775e653c,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd62c169c728d4681d4e011bce9f9b52970cc541d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x45d3c842cb41d6c49a5e9d5133b117e1494480dd,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x9bce19c1e91db7c6cd36d7310fa21f7b453dec97,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb2b1004b33121f49524ac2c3b0332b502c62d695,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xdc3580dc7e796ed5b25cbc98de1ba7a7d27a99cd,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x163412fc7a714d12be209d55ee9d228347332fb4,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x156126aa76ed6e58ed24be8c1f3cf1c13579c060,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x77bd8fbd729b55d04e7809eed30f29bc6869e1f5,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x4a98b1547df74d2a953d32da345e1e6aa737065b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x518b0f0d91408b88fb47f518cc6945e78243bc79,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x35650827af9724354eb9b92103c45f60309b1d76,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3a1cb9b55cff831ed9cfca4d37f006044daebddc,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x1ca97669537adb7a9eca3b52230f445e40cfdd34,100,0.167%,836.33,,,,,,,,,,,,,,,,
