address,allocation
0x25f4f1361b3a60ddaa0cc525917a7a23665e7b65,3611.755088
0x07d54f345bd7496f4fa488b066bdc835e696e7c9,3.963576
0x850b87d03a705cfcbd46b1be9a540ac4f553a032,0.859100
0xcd92b68b5513936870b12a9ad3f6b15254c2d6d5,3.774834
0xc159d3d4220cd69e2510def5be299338ea9e82a6,17.976022
0x62dde6fd2808c383b5e387bc3deb5d43cf8899c6,8.252569
0x8d02a0d569c4854da39e9b507bfa16ef14eec8ba,158.341288
0x3879bc7564e762c730111a41180b4273f3473ab7,64.087577
0xb277e08e37306a613ac5341d59047caf8aab8984,5.206668
0xa400578a66fdf4049fd007e1cc56f0b860c59772,0.676867
0xb6656062101ebabdecc76d742fcdc7ff8629de71,71.559146
0xb689e314448724548af8b4b8a03f93ea2b9597f8,0.208267
0x4da3bb576c3029c2148f786e1c0a6c10a746e0b1,663.733045
0x2fc80e3c5173671dd97a0da17217d5c65a77891c,8.207011
0x89a0c668c33be2a6a1089a0af2eea0ddc30c4796,59.303951
0x84d7de16189dab5abc7ddd5aa293445d3f8cd25d,318.973511
0xe0fe641a4b7554944409367369a8708e4fc8c083,109.893241
0x9fbd231045675ee720b213643c3fc5d52d257281,60.690226
0xf448f229de049b979094ce99147ef89049382c08,64.894611
0xb50f05767ce20bd186ec49c646619bb642b656b4,42.824846
0x1f0a1ca8847865c049a56db974b5a61c176654c4,45.786138
0x8d722e43dbc796a45e73d9c072f6ced67874922c,83.977050
0xc3b5533cfed62c10e8fc04aecbd4bd09312841d0,1958.039168
0x90e5cc4b52d7cc851412fbf8c2509a2c6e3ceee8,46.085522
0x31e18e5bf8c3979fb5ef6e425931e05b779ff5ef,0.702900
0x0c26276011275e0d4712723bfdbc737ec54c3bc7,84.120233
0x422a3445eb174ae119212a7337a6137900c312bd,18.346997
0xf57875c9ba562a59cc0a0891bc19ba0fccd24580,0.546700
0x755b35bd48bd9f339defe13a42f653b4077e456c,279.103449
0x7ba274e2371a48dee2a57c27c788384b279eae7b,65.968486
0x17632f6cab83fa798ecbc885026f8ca209c483ba,243.066797
0x78e98027d667aa538a0738bfdbafa9acbdc4927d,179.428294
0xe308dae81527362c39398a535a2ae5df1d98884b,143.333067
0x413afd270b7b5e5fbf6e07b841c9fc1c33c1330b,40.455812
0xdd1ab312078e41e3b2171c1618029985ea19e44a,36.576844
0xb1d6684abc1383cb6eff2d656c7e965e0e9ec3d5,1356.278491
0x0619ea70068a1686f54aca2f5903d6e24afdc1f8,594.269583
0x8f623d6be8d0230983a12a1a9615f76172cd5293,7.523636
0x950c1f99431ae23ab81989a3af873cef35739532,4007.806813
0xf41b6f863c00a4b48d76d74f1ae322a54e0d9e80,124.745262
0x90a443ad72d91a042cec1e1404cfa396f90171ad,68.773579
0x06cc8197a05cc6dcc13db25b2a7c26fcc41b8513,0.494633
0x98fbd43b022aa22526d26def6f2b2b18d1686f10,0.598767
0xbaf0cdcc24fe20824f6aa0c8575dcaaf4d47d869,15.320621
0xae8ce93be9e740132895794ea6741b61bd596e52,0.559717
0xc27b2850725c4df379bba8e0d2498c40c37c12e1,11.623887
0x1f9fd33a1304a90073d46635c29b6801e8cd5a03,7.888102
0x033ba0f5ac89da505f3d18e995ba0dd74c368345,23.078557
0xf01795951e42c02a7b3b2c7845fe3246c2506cbe,3.748801
0xc0c6af7d2ddf18c047d3723b85ebfe0316fac8e2,6.521352
0x44e9d011df8741be2493e99297e9ad67bb1aa85b,16.082096
0xa11defd6b32a413288a9191f745949540c40055e,6.618977
0xb9e927758a0dfda592acfc0245929f1ea5d13ff3,1051.968260
0xcc5684c3dc8381b73dc2fe655a07df6bbfdf6ac9,94.553095
0x826b3944c39f6acde1743fd5ad65ab21b09c5c76,602.951703
0x37e8aaf0211502d3ffe8d63eb47597d7936a728e,3.937543
0xa586a06248244f0bd50376d2d30976d37dde981f,89.828043
0x182d9db13e29938c7fe6863b2b7a579a0c7e3511,17.051838
0x0a27bd47e6f40034a9aea7ced7b0749d39a5d3cb,2.772551
0x6bd532cd3a723e8ce649aef26c07ccab56cb2f6f,4.510276
0xa397bb304689bbe8ab9cd83a934bd962b532a259,865.888447
0x115eaecd709eee946e9cce6932547dde47726646,6.326102
0x228789d2bfcf5ed41ebd8d3c98d96e860a3dc9fe,355.960380
0x4e29fa5ee5857122b19ce95608f68ad953ee3a89,348.130852
0xc65522542dd6b9be9b59a7fad9fb5b45ee7657ef,473.338206
0xb2942edbf04a164a308367123d9d362358043dd3,14.682804
0xa55812a80aea477f8a8820435af0685da8c0c65d,17.305663
0x5665ee3a3151a8c01f4a023508eda9f4166c244b,8.486869
0x4e3f00487f61421af7e430d421ffdf119777bef5,69.404887
0xa1411edd2ad6ef3d38645a55fda3654d6ee62d40,0.390500
0xd756b75624df5b854d5ebba181af8845db5360bd,9.879653
0x08cb75486de7190b85334c2a4cd52d2981bb9deb,1.158484
0x30714d0a81f3e710aec890ef5f4781e7ca0d338c,1.015300
0x520f3afd4d156e71fc26f330aca6f89e083ff524,8.233044
0xafd98e36fcc17c0102e33233180e2d1e032bc1f3,6.807719
0x8a3c0e8c9f7bfe8fe71bb963b1bb499445c62e49,0.468600
0xe583abca6c3cabe978f60dcfb04eec1f1c4be209,104.439256
0x7336cca73cc435bad0a444adf9f327dbc7b97e7c,4.126285
0xd435ac16828eb479134a82f30d7473259924843a,651.568967
0xae5a29b88bab8262ec061171b4be9ebada14ac74,45.883764
0x9684058dbd7dbd3f4a924a5aff330348f4087d48,7.068052
0x9568cb6041377562397c44a25292567790b013cf,25.792533
0xf8baf2541defab76f2c344ff10cd6d4ef74d3432,102.395638
0xd6086983a55c4a7bb178313fe0c7610d2bd4aa3b,34.305435
0x665b8ab1526ff81fa5a900779c101601666f0a7b,100.931263
0x70c251f6a34f721b3733816e5a4134c9c9000d0d,333.539165
0xfaeec1c1f3dcee110c189a80cf0cbdef0d6ecdee,307.714091
0x190ad96c20f62ad3d1462d127c931fada528ea83,0.546700
0x3cb3d4b78e215ed9e3184f66e739681ac696029d,196.408541
0x9b4942cf3ebf97e8e5777f6e25e7d1005a165158,1418.088151
0xc82922e0d871c7730f57dfb9942b5b56903760a6,1258.503770
0x5b8ed598503bb14f54093600681d7fae5373a204,2.486184
0xb57c511e8851a9fc4e1c776f8980b8d2a97ae3a2,175.920302
0xfb0d2f95038f6b768566ec0926172b44407eeeeb,170.752684
0x7b0215e067ea62e7d25b69593f5bde6068c240c0,23.690340
0xb68606199ea1b9fda18d0784c69220f637065421,13.621946
0xd040baeb020692d62a0ec7811fb6be9b96f9844e,11.038137
0x0457b4770be362c6009a9eb4ba9da5b913a6fe27,3.299726
0xf46f179ad48e5f2a69f35f95040d9ab3a224a321,222.396324
0xc0f2951ef2d750ae78c269986a75b70637ab5511,24.380224
0xc3fba3fe6bdf1c2cf72a34c7f21ebcd67561b79b,8.031286
0x6e292e8ef9b8df5b40197e50275cb18c5042c24f,3.234643
0x407afe1e87bf741293d47e562b107a633e678562,540.914251
0x64480f8ec096477ef7d079b2061f6cf5e0406884,0.494633
