user_address,balance_wei,balance_readable
0xcc5684c3dc8381b73dc2fe655a07df6bbfdf6ac9,145280000000000000000,145.28
0x826b3944c39f6acde1743fd5ad65ab21b09c5c76,926430000000000000000,926.43
0x37e8aaf0211502d3ffe8d63eb47597d7936a728e,6050000000000000000,6.05
0x550a2f5868f03112dfd72b41a470fe78fd5eeb07,0,0.0
0xa586a06248244f0bd50376d2d30976d37dde981f,138020000000000000000,138.02
0xbc939e16947c47db739c8e5b95bb548d694a5700,0,0.0
0xdbc388bf67579b9644f230e04758c859739d39c1,0,0.0
0x182d9db13e29938c7fe6863b2b7a579a0c7e3511,26200000000000000000,26.2
0x0a27bd47e6f40034a9aea7ced7b0749d39a5d3cb,4260000000000000000,4.26
0x6bd532cd3a723e8ce649aef26c07ccab56cb2f6f,6930000000000000000,6.93
0xa397bb304689bbe8ab9cd83a934bd962b532a259,1330430000000000000000,1330.43
0x115eaecd709eee946e9cce6932547dde47726646,9720000000000000000,9.72
0x228789d2bfcf5ed41ebd8d3c98d96e860a3dc9fe,546930000000000000000,546.93
0x4e29fa5ee5857122b19ce95608f68ad953ee3a89,534900000000000000000,534.9
0xc65522542dd6b9be9b59a7fad9fb5b45ee7657ef,727280000000000000000,727.28
0xf2a6d62d07656a8a6e9803c174d3e1690dcc52e5,0,0.0
0xb2942edbf04a164a308367123d9d362358043dd3,22560000000000000000,22.56
0xa55812a80aea477f8a8820435af0685da8c0c65d,26590000000000000000,26.59
0x9ff8c274cbf5465ea6bd130ad6b05e7696f3fc3d,0,0.0
0x36b9b5c014abe25bd3316ebba27fda3d4f34fb4f,0,0.0
0x5665ee3a3151a8c01f4a023508eda9f4166c244b,13040000000000000000,13.04
0x4e3f00487f61421af7e430d421ffdf119777bef5,106640000000000000000,106.64
0xecc99bf7a1b60207f0205655247f3ab39b53fbe2,0,0.0
0xa1411edd2ad6ef3d38645a55fda3654d6ee62d40,600000000000000000,0.6
0xd756b75624df5b854d5ebba181af8845db5360bd,15180000000000000000,15.18
0xf8f1927efa5e3eb506a14b1eacccf59db3e71868,0,0.0
0x08cb75486de7190b85334c2a4cd52d2981bb9deb,1780000000000000000,1.78
0x30714d0a81f3e710aec890ef5f4781e7ca0d338c,1560000000000000000,1.56
0x520f3afd4d156e71fc26f330aca6f89e083ff524,12650000000000000000,12.65
0xafd98e36fcc17c0102e33233180e2d1e032bc1f3,10460000000000000000,10.46
0x8a3c0e8c9f7bfe8fe71bb963b1bb499445c62e49,720000000000000000,0.72
0x87047f8a5d1b8c8e7f84ce6f4079d2c586b1eb4a,0,0.0
0xe583abca6c3cabe978f60dcfb04eec1f1c4be209,160470000000000000000,160.47
0x7336cca73cc435bad0a444adf9f327dbc7b97e7c,6340000000000000000,6.34
0xd435ac16828eb479134a82f30d7473259924843a,1001130000000000000000,1001.13
0xae5a29b88bab8262ec061171b4be9ebada14ac74,70500000000000000000,70.5
0x9684058dbd7dbd3f4a924a5aff330348f4087d48,10860000000000000000,10.86
0x9568cb6041377562397c44a25292567790b013cf,39630000000000000000,39.63
0xf8baf2541defab76f2c344ff10cd6d4ef74d3432,157330000000000000000,157.33
0xd6086983a55c4a7bb178313fe0c7610d2bd4aa3b,52710000000000000000,52.71
0x0cb335711741ce4fb16aa98ce8d6f5e284723bb8,0,0.0
0x96d10190142db35997be23c6f6609de05923e644,0,0.0
0x665b8ab1526ff81fa5a900779c101601666f0a7b,155080000000000000000,155.08
0x7d3539dd4e430c27e61ad97ecb6389723896903f,0,0.0
0x70c251f6a34f721b3733816e5a4134c9c9000d0d,512480000000000000000,512.48
0xc13a9ec721f33e3fdd2d7ea98daefbc08786651a,0,0.0
0xfaeec1c1f3dcee110c189a80cf0cbdef0d6ecdee,472800000000000000000,472.8
0x190ad96c20f62ad3d1462d127c931fada528ea83,840000000000000000,0.84
0xd5d3a1198850546366b1876a27eb69b477315025,0,0.0
0x269a5f5b673784169dc83af10c6b2bcebbf0897b,0,0.0
0x3cb3d4b78e215ed9e3184f66e739681ac696029d,301780000000000000000,301.78
0x9b4942cf3ebf97e8e5777f6e25e7d1005a165158,2178880000000000000000,2178.88
0x0ac2ff8b391c30ed9bb61faf2e26b9890bf4f8ca,0,0.0
0xc82922e0d871c7730f57dfb9942b5b56903760a6,1933680000000000000000,1933.68
0x5b8ed598503bb14f54093600681d7fae5373a204,3820000000000000000,3.82
0xb57c511e8851a9fc4e1c776f8980b8d2a97ae3a2,270300000000000000000,270.3
0xfb0d2f95038f6b768566ec0926172b44407eeeeb,262360000000000000000,262.36
0xfe0b71026a100338d6a58d32f45857a83c08e5c6,0,0.0
0x39c31a899662da8bba43862c82c8ba531dc61390,0,0.0
0x7b0215e067ea62e7d25b69593f5bde6068c240c0,36400000000000000000,36.4
0xb68606199ea1b9fda18d0784c69220f637065421,20930000000000000000,20.93
0xf195bf47791739d82203d1e4540709cbadc26273,0,0.0
0xd1096c0afa0bbe58191016bcfbe885b601edc9f6,0,0.0
0x640425b7d91943d3a625ffea3da4dd58426a26cf,0,0.0
0xd040baeb020692d62a0ec7811fb6be9b96f9844e,16960000000000000000,16.96
0x88dcad01503edbcd0795d332f9c3744304a71a15,0,0.0
0x0457b4770be362c6009a9eb4ba9da5b913a6fe27,5070000000000000000,5.07
0xf46f179ad48e5f2a69f35f95040d9ab3a224a321,341710000000000000000,341.71
0xea61766a21d9422350856594b49256745cd8cb08,0,0.0
0xc0f2951ef2d750ae78c269986a75b70637ab5511,37460000000000000000,37.46
